字词索引,参见,词条,繁体异体,拼音,部首,笔画,结构,字级,释义
绩,,绩,[績],jì,纟,11,左右,一级字,❶缉线，把麻搓成绳或线。《诗经·陈风·东门之枌》：“不～其麻。”//〖引〗继承。《左传·昭公元年》：“子盍亦远～禹功而大庇民乎?”//❷成绩，功绩。《穀梁传·成公五年》：“伯尊其无～乎?”
萁,,萁㈠,,jī,艹,11,上下,二级字,❶草名。《汉书·五行志下》：“女童谣曰：‘檿（yǎn）弧～服，实亡周国。’”（檿：木名。弧：指弓。服：箭袋。）//❷木名。《淮南子·时则》：“爨～燧火。”
骑,,骑㈠,[騎],jì,马,11,左右,一级字,骑兵，骑马的人。《史记·项羽本纪》：“沛公旦日从百余～来见项王。”白居易《卖炭翁》：“翩翩两～来是谁？”//〖引〗骑马的侍从。《韩非子·说林下》：“公孙弘断发而为越王～。”
塈,,塈,,jì,土,12,上下,,❶用泥涂抹屋顶。《尚书·梓材》：“若作室家，既勤垣墉，惟其涂～茨。”（盖房子既要垒好墙，也要用泥涂抹好茅草屋顶。）《汉书·谷永传》：“凶年不～涂。”//❷取。《诗经·召南·摽有梅》：“摽有梅，顷筐～之。”//❸休息，安宁。《诗经·大雅·假乐》：“不解于位，民之攸～。”（在上者不懈怠，民所以得安宁。一说“塈”为“归附”义。）
惎,,惎,,jì,心,12,上下,三级字,❶毒害。《左传·定公四年》：“管蔡启商，～间王室。”（管蔡：管叔、蔡叔。）//❷憎恨。《左传·哀公二十七年》：“赵襄子由是～知伯。”//❸教导。《左传·宣公十二年》：“晋人或以广队不能进，楚人～之脱扃。”（脱扃：抽去车前横木。）张衡《西京赋》：“天启其心，人～之谋。”
戟,,戟,[㦸],jǐ,𠦝,12,左右,二级字,❶古代一种兵器。《诗经·秦风·无衣》：“王于兴师，修我矛～。”《三国志·魏书·典韦传》：“帐下壮士有典君，提一双～八十斤。”//〖引〗伸出食指和中指指人，其状似戟。《左传·哀公二十五年》：“公～其手。”//❷刺激（后起意义）。柳宗元《与崔饶州论石钟乳书》：“～喉痒肺。”
戢,,戢,,jí,口,12,半包围,二级字,❶收藏兵器。《诗经·周颂·时迈》：“载～干戈。”（载：句首语气词。）//〖引〗记住。《世说新语·方正》刘注引《孙绰集》：“永～话言，口诵心悲。”//〖引〗止息，禁止。《左传·隐公四年》：“夫兵犹火也，弗～，将自焚也。”《宋史·度宗纪》：“申严～贪之令。”//❷收敛。陶潜《归鸟》诗：“翼翼归鸟，～羽寒条。”（翼翼：翅膀一扇一扇的样子。条：树枝。）//❸聚集。《国语·周语上》：“夫兵～而时动，动则威。”
期,,期㈠,,jī,月,12,左右,一级字,❶周（年、月）。《左传·襄公九年》：“行之～年，国乃有节。”（行：施行。节：节余。）《后汉书·耿纯传》：“～月之间，兄弟称王。”//❷期服。旧时为亲属服丧一年。《墨子·公孟》：“伯父叔父兄弟～。”//上述❸❹的意义又写作“朞”，现写作“期”。
期,,期㈠,[朞],jī,月,12,左右,一级字,❶一周（年、月）。《尚书·尧典》：“～，三百有六旬有六日。”（一年有三百六十六天。）//[期年]//一周年。《左传·襄公九年》：“行之～～，国乃有节。”//[期月]//一整月。《后汉书·耿纯传》：“～～之间，兄弟称王。”//❷期服。服为期一年的丧服。《墨子·公孟》：“伯父、叔父、兄弟，～。”
棘,,棘,,jí,一,12,左右,一级字,❶酸枣树。《诗经·邶风·凯风》：“吹彼～薪。”（棘薪：指酸枣树已长成薪柴。）//〖泛〗有刺的灌木。如“荆棘”。//〖引〗刺，刺伤。黄庭坚《龙眠操》诗：“我为直兮～余趾。”//❷通“戟”。一种兵器。《左传·隐公十一年》：“子都拔～以逐之。”（子都：人名。）//❸通“急”。急迫。《诗经·小雅·采薇》：“岂不日戒，玁狁孔～。”（玁狁：古代北方民族。孔：甚。）//〖又〗急躁。王夫之《船山记》：“蠲（juān）其不欢，迎其不～。”（蠲：弃。）//❹通“瘠”。瘠薄。《吕氏春秋·任地》：“～者欲肥。”
殛,,殛,,jí,歹,12,左右,二级字,诛杀。《尚书·舜典》：“～鲧（gǔn）于羽山。”（鲧：人名，夏禹的父亲。）《左传·僖公二十八年》：“有渝此盟，明神～之。”（渝：改变。）//〖引〗惩罚。《尚书·康诰》：“爽惟天其罚～我，我其不怨。”
缉,,缉㈠,[緝],jī,纟,12,左右,一级字,捉拿，搜捕（后起意义）。如“缉拿”、“缉获”、“缉私”。
缉,,缉㈡,[緝],jí,纟,12,左右,一级字,❶通“辑”。聚集。颜延之《阳给事诔》：“立乎将卒之间，以～华裔之众，罢困相保，坚守四旬。”（裔：后代。）//❷通“辑”。和睦。《后汉书·蔡茂传》：“使执平之吏永申其用，以厌远近不～之情。”（执平：办事公平。申：发挥。厌：使……协调。远近：指各地。）//❸编辑，整理。《晋书·陈寿等传论》：“咸能综～遗文，垂诸不朽。”
胔,,胔㈠,,jí,肉,12,上下,,通“瘠”。瘦。《汉书·娄敬传》：“今臣往，徒见羸～老弱。”
赍,,赍㈠,[賷、齎],jī,贝,12,上下,二级字,❶送物给人。《荀子·大略》：“非其人而教之，～盗粮，借贼兵也。”（兵：兵器。）//❷携带。《史记·李斯列传》：“秦王乃拜斯为长史，听其计，阴遣谋士，～持金玉以游说诸侯。”（长史：官名。阴：暗地。）//〖引〗怀着。江淹《恨赋》：“～志没地。”（没地：死去。）
集,,集,,jí,隹,12,上下,一级字,❶群鸟停在树上。《诗经·周南·葛覃》：“黄鸟于飞，～于灌木。”//〖又〗降落。《韩非子·解老》：“时雨降～，旷野间（xián）静。”//〖引〗停留。屈原《离骚》：“欲远～而无所止兮，聊浮游以逍遥。”//❷聚集。贾谊《过秦论》：“天下云～而响应。”//❸诗文集子。《三国志·蜀书·诸葛亮传》：“亮言教书奏多可观，别为一～。”（言教书奏：四种文体。）//❹成功。《左传·襄公二十六年》：“今日之事幸而～，晋国赖之；不～，三军暴骨。”（事：指秦、晋和好。幸：侥幸。）《左传·成公二年》：“此车一人殿之，可以～事。”//❺安定。《史记·秦始皇本纪》：“天下初定，远方黔首未～。”
嫉,,嫉,,jí,女,13,左右,一级字,嫉妒。屈原《离骚》：“世溷（hùn）浊而～贤兮。”（溷：浊。）《世说新语·言语》：“淳酪养性，人无～心。”//〖又〗憎恨。《史记·孟子荀卿列传》：“荀卿～浊世之政。”（浊世：乱世。）
楫,,楫,[檝],jí,木,13,左右,二级字,船桨。《商君书·弱民》：“背法而治，此任重道远而无马牛，济大川而无舡～也。”（任：背负。济：渡。舡：船。）
畸,,畸,,jī,田,13,左右,一级字,❶零星，剩余。贾谊《新书·铜币》：“以调盈虚，以收～羡。”（羡：多余的。）//❷不整齐。《荀子·天论》：“墨子有见于齐，无见于～。”（齐：整齐。）//〖引〗偏。《荀子·天论》：“中则可从，～则不可为。”//❸单数。《新唐书·李逊传》：“故事，天子以～日听政，对群臣。”
蒺,,蒺,,jí,艹,13,上下,二级字,[蒺藜]//一种长刺的野生植物。古乐府《孤儿行》：“拔断～～肠月中。”（肠：腓肠，即小腿肚子。月：同“肉”。）//用来御敌的一种器具，有尖刺像蒺藜。《墨子·备城门》：“皆积絫石～～。”（絫石：礌石。）
蓟,,蓟,[薊],jì,艹,13,上下,二级字,❶一种多年生草本植物。沈括《梦溪笔谈》卷二五：“大～茇（bá）如车盖。”（茇：草根。）//❷古地名。在今北京东边。《战国策·燕策二》：“～丘之植，植于汶皇。”
襀,,襀,[襀],jī,衤,13,左右,三级字,[襞（bì）襀]//衣服上的褶子。司马相如《子虚赋》：“～～褰绉，纡徐委曲。”
跻,,跻,[躋],jī,𧾷,13,左右,二级字,升，登。《诗经·豳风·七月》：“～彼公堂。”《后汉书·韦彪传》：“爵位不～。”
辑,,辑,[輯],jí,车,13,左右,一级字,❶车厢。//〖泛〗车子。《列子·汤问》：“齐～乎辔（pèi）衔之际。”（齐：齐整，整备。辔：马缰绳。衔：马嚼子。）//❷聚集。《韩非子·说林下》：“甲～而兵聚。”（甲：铠甲。兵：兵器。）//〖又〗纂集，编辑。《国语·晋语八》：“端刑法，～训典。”（训典：训辞和礼仪规范。）//❸和睦。《左传·僖公十五年》：“群臣～睦，甲兵益多。”//〖引〗安抚，安定。柳宗元《封建论》：“卧而委之以～一方可也。”（委：委托。）//❹敛。《礼记·丧大记》：“大夫于君所则～杖。”（辑杖：指收起拐杖。）
錤,,錤,[錤],jī,钅,13,左右,三级字,[镃（zī）錤]//见547页“镃”字。
暨,,暨,,jì,旡,14,上下,二级字,❶和，同。《左传·定公十年》：“母弟辰～仲佗、石░（kōu）出奔陈。”（辰、仲佗、石░：都是人名。陈：国名。）//❷到，至。《庄子·列御寇》：“跣而走，～乎门。”魏征《十渐不克终疏》：“～乎今岁，天灾流行。”（岁：年。）//这个意义又写作“洎”。
穊,,穊,,jì,禾,14,左右,,稠密（多用于农作物的密植）。《史记·齐悼惠王世家》：“深耕～种，立苗欲疏。”
耤,,耤㈠,,jí,耒,14,左右,三级字,[耤田]//名义上由皇帝亲自耕种的田地。又写作“藉田”。《汉书·文帝纪》：“其开～～，朕亲率耕。”
跽,,跽,[𦜕],jì,𧾷,14,左右,三级字,长跪，挺直上身两膝着地。《战国策·秦策三》：“秦王～曰：先生是何言也。”《史记·项羽本纪》：“项王按剑而～，曰：‘客何为者？’”
霁,,霁,[霽],jì,雨(⻗),14,上下,二级字,雨雪停止，云雾散，天放晴。《晏子春秋·谏上》：“雨雪三日而不～。”《韩非子·难势》：“云罢雾～。”成语有“光风霁月”。//〖喻〗怒气消除，气色转和。《汉书·魏相传》：“相心善其言，为～威严。”《新唐书·裴度传》：“帝色～，乃释寰。”（释：释放。寰：人名。）
畿,,畿,,jī,幺,15,特殊,二级字,❶国都四周的广大地区。《诗经·商颂·玄鸟》：“邦～千里，维民所止。”（邦畿：以国都为中心的广大土地。维：语气词。止：居住。）//〖又〗京城所管辖的地区。魏征《十渐不克终疏》：“～内户口，并就关外。”//❷地域，地区。宋之问《送李侍御》诗：“南登指吴服，北走出秦～。”//❸门槛，门限。《诗经·邶风·谷风》：“不远伊迩，薄送我～。”（薄：动词词头。）//〖引〗边，际。颜延年《归鸿》诗：“相鸣去涧汜，长引发江～。”
瘠,,瘠㈠,,jí,疒,15,半包围,二级字,❶瘦。与“肥”相对。《荀子·非相》：“叶公子高，微小短～，行若将不胜其衣。”《史记·刘敬叔孙通列传》：“今臣往，徒见羸～老弱。”//〖又〗贫困。《国语·楚语上》：“民实～矣，君安得肥。”《三国志·吴书·陆逊传》：“民～国强者，未之有也。”//〖引〗地力贫弱。《国语·鲁语下》：“择～土而处之。”//❷薄，少。《左传·襄公二十九年》：“何必～鲁以肥杞。”《荀子·富国》：“若是则～，～则不足欲。”
稷,,稷,,jì,禾,15,左右,二级字,❶谷类，一说即谷子。《诗经·王风·黍离》：“彼黍离离，彼～之苗。”陶潜《桃花源诗》：“桑竹垂余荫，菽～随时艺。”（荫：阴影。菽：豆类。艺：种植。）//❷古代掌农事的官。《左传·昭公二十九年》：“～，田正也。”//〖又〗谷神。《礼记·祭法》：“其子曰农，能殖百谷……故祀以为～。”//[社稷]//见365页“社”字。//❸[稷下]//古地名，在今山东临淄北。//【辨析】//穀，禾，粟，黍，稷。见136页“谷2（穀）”字。
稽,,稽㈠,,jī,禾,15,左右,一级字,❶考证，考核。《荀子·正名》：“无～之言。”//❷计较，争辩。《汉书·贾谊传》：“妇姑不相说，则反唇而相～。”（说：悦。）//❸停留，拖延。《管子·君臣上》：“令出而不～。”//❹至，到。《庄子·逍遥游》：“大浸～天而不溺。”（大浸：大水。）//❺合，相合。《韩非子·解老》：“道者，万物之所然也，万理之所～也。”
觭,,觭,,jī,角,15,左右,三级字,❶角一俯一仰的样子。《尔雅·释畜》：“角一俯一仰，觭。”//〖引〗偏向一边。《战国策·赵策四》：“齐秦非复合也，必有～重者矣。”//❷单，只。《汉书·五行志中之下》：“匹马～轮无反者。”（反：返。）//❸通“奇”。数目不成双的。与“偶”相对。《新唐书·朱泚传》：“时四方无事，天子～日视朝。”
